	HP301.W9	CML277.W6.1	CML277.W10	IL14H.W10.1	B73.W6	MO17.W7.1	HP301.W12.1	IL14H.W4	IL14H.W6	B73.W8	IL14H.W11.1	CML277.W5	HP301.W10
1038987	538	659	420	215	197	822	330	821	240	367	172	347	283
107428	7	24	4	4	10	56	18	14	5	18	18	2	6
811435	150	147	58	63	162	242	74	223	91	140	48	183	53
775560	138	98	101	113	63	123	109	146	28	73	36	56	68
743788	172	50	89	979	46	221	12	17	43	99	209	14	190
589500	28	6	17	19	4	6	22	18	10	4	14	9	15
578951	53	65	22	53	39	47	18	38	21	65	4	29	21
206278	90	21	36	128	18	63	19	42	15	44	25	15	33
214676	39	33	22	24	14	22	61	49	14	14	30	15	27
244063	104	76	43	64	98	168	70	125	41	121	33	86	49
4402900	19	1	22	23	7	7	19	13	3	10	5	7	14
221791	10	3	26	22	0	7	37	12	3	3	13	2	10
1107738	244	109	104	140	104	194	275	252	60	128	112	131	55
1897510	17	11	18	3	10	21	11	14	14	12	6	1	15
691349	893	303	248	55	100	250	34	139	85	148	16	90	111
735782	31	101	19	9	67	101	15	76	29	47	4	71	18
255838	64	46	60	72	16	32	98	46	15	21	55	31	58
878663	379	312	53	16	105	232	19	145	46	106	1	110	13
215003	15	5	17	6	2	24	15	2	2	9	8	9	11
254007	19	0	8	9	0	1	22	2	0	3	5	0	7
731014	63	30	24	35	21	43	39	34	16	50	22	31	19
1106796	17	52	9	19	1	10	6	37	15	49	1	19	4
552989	74	51	88	101	54	59	218	106	21	51	115	53	74
206609	153	48	82	322	18	85	245	94	11	102	32	43	17
813418	83	99	76	103	46	83	23	147	78	74	9	217	44
828667	3	5	2	0	2	6	5	2	5	4	0	1	3
217700	726	320	467	180	17	187	79	128	68	318	69	67	85
576136	67	57	47	66	71	104	44	106	15	65	74	72	50
534301	281	97	152	99	149	223	138	194	34	157	86	105	86
535892	3	1	1	5	4	8	10	3	2	3	0	2	3
852722	24	14	11	46	28	27	2	19	7	9	5	138	5
807260	47	45	34	31	17	48	51	37	11	24	29	26	15
849156	63	105	111	915	68	187	2146	128	199	300	357	41	589
207403	43	9	31	15	4	28	15	17	4	6	5	9	8
963779	42	181	49	63	184	112	31	43	140	100	39	213	91
540510	43	54	37	37	23	53	93	84	13	18	80	74	31
4297391	22	4	16	81	5	11	121	5	10	5	46	1	21
565604	44	32	158	271	15	125	62	33	13	75	90	25	129
864507	197	168	88	182	64	151	41	480	80	273	4	353	35
547608	17	23	15	6	14	32	30	33	17	6	11	37	13
780555	3	17	1	1	8	5	0	2	1	0	5	2	13
541299	36	83	190	61	36	270	111	22	20	40	239	34	237
1105280	702	9	610	39	3	5	3207	4	26	19	5921	5	918
586388	71	75	108	228	37	125	85	69	65	83	77	63	109
4477117	67	15	18	29	5	23	19	31	19	30	6	26	17
808319	71	62	54	23	21	110	56	75	13	61	13	43	28
3468909	93	49	35	43	25	68	34	99	15	46	35	63	36
221349	39	4	63	86	1	4	365	11	6	2	139	10	46
816291	52	35	25	30	19	52	38	39	26	37	13	45	21
331647	19	2	23	24	3	10	22	4	1	1	32	1	8
4434837	43	4136	89	76	423	65	17	10	9	346	93	142	78
876066	1	1	2	5	1	5	12	5	0	4	8	5	2
976441	111	110	159	102	42	181	85	41	36	20	161	43	161
573135	13	12	23	20	2	10	8	6	4	7	9	12	13
247867	24	7	14	7	3	12	36	9	3	5	9	13	18
1107011	404	74	202	246	57	131	273	161	59	36	294	46	181
959372	90	46	80	73	36	123	141	92	30	44	47	36	51
810882	34	42	19	38	53	30	5	48	42	41	12	16	13
906820	266	189	127	184	178	396	235	324	119	220	91	262	98
1068902	114	103	132	50	22	153	94	49	30	36	17	16	89
854930	52	73	354	77	4	27	718	26	35	25	9	46	164
205244	24	18	9	12	10	16	36	21	10	6	21	12	7
944435	12	18	40	121	9	22	71	25	9	20	71	6	28
822806	188	246	80	111	16	135	50	86	59	278	103	94	44
17991	266	379	88	191	264	378	16	316	549	1008	0	667	101
250148	47	13	2697	105	3	24	39	19	21	30	234	21	115
878714	14	10	1	18	2	17	17	15	1	6	3	10	7
562332	25	11	19	16	9	12	29	6	4	4	19	12	20
3609950	28	18	21	21	15	28	17	33	6	28	12	8	24
4339351	6	14	2	1	3	6	3	8	4	3	0	2	3
664216	42	12	39	35	8	11	136	32	16	7	40	11	27
1028953	77	137	22	252	23	156	13	120	19	200	2	303	25
1053775	3342	1346	2849	2123	781	1895	269	1011	1198	1398	379	1109	628
4320381	20	18	35	14	7	30	21	20	8	22	8	7	6
968121	3	9	4	12	1	12	35	3	1	1	2	1	13
1105814	44	12	45	37	10	19	26	22	8	19	14	8	25
987899	7	9	10	9	12	28	9	7	6	15	2	12	13
535678	23	4	20	17	5	16	20	2	5	18	17	8	28
1118109	12	0	29	24	1	12	16	7	1	7	13	1	13
946179	26	16	21	24	14	50	22	26	20	18	9	16	13
313833	334	115	705	167	30	165	220	65	24	148	243	18	196
358590	127	68	50	32	82	129	41	124	32	99	31	94	30
249571	318	141	51	14	35	114	12	113	135	120	13	37	58
1106748	52	26	27	22	14	31	65	36	3	33	18	12	56
4476891	112	40	13	78	31	124	47	200	23	70	5	82	43
541511	169	107	41	41	36	109	9	69	43	56	7	27	25
1106324	232	1433	764	1720	159	426	72	165	667	212	1320	123	819
150877	14	4	13	4	4	19	29	18	3	5	7	6	11
1115404	133	316	34	281	37	256	143	396	21	440	6	249	25
811449	91	176	425	152	92	172	237	86	82	170	583	113	586
350446	41	28	39	18	24	41	17	29	13	28	29	19	37
788268	78	62	55	128	26	96	64	91	37	96	43	37	60
1110303	1717	640	1079	862	231	614	865	561	171	584	576	249	424
591683	57	36	27	11	13	38	17	31	11	26	16	37	10
254949	128	24	83	164	35	121	112	142	17	57	5	144	16
216748	9	3	5	11	3	14	18	4	7	6	2	2	10
222900	140	99	33	55	19	73	27	170	28	58	11	33	52
984175	3	4	4	18	2	3	19	3	2	14	4	3	5
610753	744	159	718	834	86	361	427	150	180	172	372	119	548
672471	48	24	22	33	24	41	31	49	17	28	11	29	10
893232	13	3	5	11	6	14	15	11	5	12	3	8	6
1107128	63	11	52	107	6	13	150	42	9	3	122	7	34
791738	1069	132	2199	1339	74	253	37	127	95	237	624	93	476
551895	910	1071	444	162	240	895	125	934	222	634	75	522	274
578508	222	102	150	218	135	261	165	216	67	87	107	116	79
370301	13	8	19	32	16	19	57	37	10	12	9	11	5
173004	318	411	193	239	221	434	378	482	139	311	132	269	179
754410	470	109	118	100	322	139	120	181	321	46	15	257	39
1059762	32	10	38	50	8	28	32	8	18	27	1	9	12
1144575	14	20	67	34	4	36	29	9	1	18	18	0	42
1080447	65	30	55	85	23	49	79	51	29	26	31	36	48
3276016	22	12	14	10	7	22	38	17	6	6	9	16	2
141365	0	3	5	0	23	2	0	1	6	1	0	2	6
2259380	4	19	5	19	7	26	19	15	7	9	6	5	29
994823	20	5	21	17	7	13	58	5	9	3	19	11	7
865520	40	76	17	47	23	60	87	118	16	51	10	38	27
538315	52	31	32	21	14	62	24	31	13	25	16	17	15
102024	7	2	5	18	3	4	11	4	0	3	9	2	6
676066	8	2	10	13	2	8	23	5	1	3	6	0	24
559780	868	42	709	61	18	46	25	18	26	20	13	11	48
249773	80	47	37	46	30	69	121	54	17	55	52	44	25
209233	320	0	652	140	4	7	323	0	3	1	599	0	195
1071316	108	184	28	185	102	173	61	335	96	162	19	259	37
709971	66	22	65	50	8	16	51	14	6	27	25	21	38
356083	297	169	125	231	147	320	242	341	115	189	119	195	123
879040	851	301	465	207	138	285	310	410	195	237	75	686	207
210344	171	32	108	26	38	52	69	59	20	62	20	44	19
4350559	156	54	78	95	93	137	72	150	36	165	33	47	38
1069213	55	21	27	206	9	33	47	89	19	50	17	69	23
624858	21	24	11	9	9	16	10	15	5	3	12	15	11
4369011	43	13	120	41	1	17	0	10	1	50	4	3	12
654742	763	305	759	418	224	426	1300	550	227	162	791	421	460
367995	1201	506	505	146	284	495	242	715	288	263	106	664	232
833645	63	48	9	53	42	41	62	76	13	11	39	62	15
800292	1114	234	435	47	80	190	16	148	47	153	8	93	63
217929	96	87	206	104	42	167	150	97	25	96	68	33	173
592301	1687	2454	833	589	347	1515	87	892	1136	895	243	602	437
922761	39	345	637	274	1260	195	105	417	362	39	781	536	187
810700	21	3	6	34	6	11	32	18	15	10	3	12	12
1111883	5	2	2	5	0	1	12	8	0	4	1	0	4
814282	9	12	12	31	1	25	7	46	1	15	37	47	11
588861	111	127	60	25	22	139	5	102	35	64	5	47	46
225453	7	378	6	65	224	276	1	102	64	38	4	108	4
993474	3	1	0	1	0	1	6	1	3	2	0	3	0
969805	1982	2936	1985	2296	2557	2880	1864	1141	2650	1847	1362	3737	2639
662808	7	5	3	5	3	23	27	16	9	9	8	12	8
920852	15	2	24	12	2	5	14	0	5	16	91	4	27
223441	5	4	15	0	4	7	0	0	0	4	7	7	3
4358255	141	27	88	46	3	76	28	28	8	40	11	15	14
812809	262	172	135	169	145	211	246	238	34	157	81	115	108
513073	555	267	328	178	176	352	185	418	210	210	29	255	124
1024056	3	31	14	7	16	15	15	9	10	17	4	8	11
564004	55	7	50	32	6	19	38	15	4	13	20	7	32
223764	16	0	3	12	0	4	6	13	1	1	3	0	3
552186	10	5	43	12	3	8	0	14	1	10	2	1	5
208595	56	57	24	32	37	100	20	97	5	61	5	53	16
587313	118	21	63	84	30	29	181	44	16	25	107	26	38
850135	64	110	203	131	21	56	37	47	23	62	29	27	154
510204	28	18	5	4	8	5	7	3	4	7	11	14	24
48487	143	29	75	73	43	197	123	49	19	86	12	61	32
284171	18	12	9	25	9	30	22	34	2	11	8	4	21
940828	51	21	68	76	10	24	90	41	6	25	77	8	41
1096572	182	96	120	102	86	187	90	102	51	107	58	71	96
142247	6	4	2	115	0	3	2	1	2	33	2	0	1
358664	23	48	2	3	40	64	12	90	9	32	7	53	13
575688	8	23	213	50	56	19	16	27	26	6	6	15	11
580625	3203	1180	3431	3185	556	1296	2121	1115	561	1048	1412	825	1932
1116937	50	24	42	66	15	52	75	46	12	25	26	33	31
1104437	446	318	82	85	196	530	23	580	88	214	18	324	136
918840	21	24	20	26	22	46	16	71	23	39	15	28	23
929699	104	37	46	81	34	45	51	76	25	13	31	33	41
562922	13	16	8	18	9	15	8	8	4	13	9	6	18
591340	156	58	44	169	32	130	58	78	20	124	4	74	37
828127	74	19	24	21	25	16	16	41	3	13	7	12	8
1104733	321	782	199	233	60	314	52	226	194	137	6842	137	250
207082	64	17	90	55	15	27	36	27	7	24	21	20	16
20428	8	28	8	47	2	7	16	13	3	40	3	27	9
512148	4	5	10	20	8	5	19	1	4	13	17	2	6
545548	192	151	126	84	49	162	36	102	51	77	21	61	95
562604	111	65	64	72	51	172	86	120	43	73	43	87	44
279206	15	36	48	68	8	36	27	12	15	36	56	5	14
646549	1236	1903	1841	601	13777	1758	162	686	2171	1483	510	2590	3012
4379833	128	473	62	35	46	156	6	220	55	200	34	44	47
810167	2228	1462	1517	1759	359	1026	874	1062	400	875	566	509	768
3319380	16	14	10	25	9	15	13	14	13	13	3	6	4
225894	39	52	90	130	28	86	205	16	11	11	145	6	146
1107346	175	271	198	185	146	218	585	293	73	87	244	256	214
1042519	52	6	26	61	0	11	0	7	0	5	0	5	20
547148	213	159	83	90	118	203	190	262	86	180	70	172	49
541741	94	101	55	58	139	141	39	198	41	96	20	81	40
854050	60	57	27	35	19	90	81	115	21	11	31	42	33
1093690	60	77	43	81	42	112	68	62	19	50	25	31	48
358785	6	3	7	4	3	2	19	5	3	2	13	1	2
820086	65	243	110	94	98	180	29	292	197	65	2	336	19
4321627	329	880	197	191	11	598	24	87	83	228	21	63	156
261663	22	10	15	17	13	25	20	33	7	23	12	8	21
223126	31	39	13	11	4	14	12	48	6	23	5	31	6
808919	7	5	9	44	1	14	15	3	1	3	8	8	8
591157	120	41	162	218	28	71	397	115	17	28	133	31	69
693971	2	0	16	22	0	2	75	2	1	0	32	0	10
940737	1198	1319	1787	863	1204	1144	1621	724	881	784	497	680	675
103869	80	59	28	41	43	92	120	133	25	35	45	81	89
410072	5	15	11	7	3	20	6	7	5	8	3	7	5
545247	103	32	31	27	32	57	47	80	15	58	31	37	42
1020921	176	496	164	376	1023	571	440	137	406	46	0	110	27
1069076	357	288	107	474	586	412	442	790	152	232	89	348	174
822419	151	1557	55	84	378	544	299	251	277	409	137	185	49
519739	7	5	9	18	6	17	14	17	3	2	3	7	7
512542	22	9	20	39	19	20	20	23	8	14	7	14	10
564241	87	44	54	41	57	101	10	81	22	78	10	53	31
521158	9	2	28	24	3	5	22	10	2	4	18	3	10
1084045	13	4	2	17	6	6	12	40	1	3	5	9	5
592129	198	116	200	377	82	227	105	115	90	126	35	77	142
246466	190	82	63	78	65	130	33	95	65	100	19	85	47
930055	227	109	93	157	74	184	112	276	55	201	27	111	61
510591	682	341	358	197	38	266	26	236	88	211	18	150	127
46818	445	268	309	114	86	155	84	97	97	127	75	69	142
931593	167	40	60	54	15	51	44	31	20	56	21	36	19
1108960	399	370	587	1179	191	243	475	186	408	285	493	132	386
142373	31	13	29	11	6	20	43	26	7	16	13	12	19
726736	55	33	58	32	12	49	14	24	13	21	34	16	22
751555	438	233	678	226	150	267	222	173	62	223	83	131	216
547806	124	20	31	26	12	54	9	6	27	34	29	1	54
755077	61	61	32	41	37	59	92	79	14	33	40	37	47
697989	312	143	217	189	95	223	419	259	93	57	145	133	174
989109	2057	1211	1574	727	772	1090	561	1756	708	743	505	962	586
4348098	27	16	16	31	20	34	24	28	22	15	11	29	13
585878	55	49	49	60	37	131	35	71	21	70	12	53	17
236583	12	14	14	11	10	35	24	23	10	16	10	13	13
1008533	8	13	3	43	3	36	7	7	4	18	2	8	4
144633	6	2	15	10	3	4	19	10	3	2	9	6	14
718335	11	0	5	27	2	13	6	9	6	19	0	8	6
4318356	33	25	5	40	16	30	14	30	28	12	2	43	5
353494	7	2	7	0	0	0	2	0	2	0	1	0	1
584331	15	6	7	6	1	18	4	3	37	19	7	13	9
532125	6	3	4	6	2	6	7	15	9	6	0	1	2
128177	27	30	19	9	6	42	17	14	6	22	6	10	33
1106130	782	168	80	54	172	247	86	62	564	260	100	223	135
864304	49	29	16	20	12	63	54	40	19	31	8	29	17
647472	64	35	30	15	35	91	24	67	40	62	11	43	18
576059	3	1	9	8	0	3	30	2	0	2	12	0	9
1051459	46	140	332	104	161	24	28	18	72	42	50	17	39
494339	455	768	24	43	404	945	3	489	173	333	9	428	25
13332	40	30	41	38	22	97	112	58	27	93	13	41	32
802011	153	1169	81	334	501	552	15	481	1064	349	21	619	114
1021984	300	126	417	194	13	307	160	41	25	100	172	37	114
509899	169	128	102	55	83	180	66	191	49	56	24	131	72
996116	122	123	138	171	53	164	205	85	42	85	97	59	223
336745	58	25	13	20	16	81	18	38	22	150	1	3	129
552687	204	83	71	43	116	234	76	248	69	113	21	142	58
358068	388	475	1161	574	273	386	50	254	189	332	1102	350	299
220353	639	499	215	131	56	479	43	456	150	141	22	143	207
591747	107	41	42	41	38	97	78	76	37	65	23	84	31
314599	10	1	26	33	2	4	18	3	1	26	0	0	5
876519	451	210	255	365	185	410	554	358	140	204	176	291	213
699318	690	303	294	338	215	429	478	764	295	271	212	560	175
361264	48	15	31	65	17	44	103	35	16	24	29	20	22
1106471	34	31	14	38	8	63	12	22	8	53	0	19	20
58633	66	18	187	184	3	44	1149	7	23	21	115	6	1120
1015227	22	9	4	10	4	14	22	16	6	11	9	10	23
142233	74	29	181	58	21	67	18	26	29	29	9	18	25
811424	105	214	49	53	35	130	2	17	34	40	15	14	48
273690	17	6	16	15	3	14	9	18	3	6	8	5	4
551344	12	12	5	6	10	18	37	19	12	14	7	7	22
859157	7	3	1	5	0	10	0	3	4	4	0	3	2
538111	10	9	5	6	1	3	4	7	5	7	8	6	10
790384	43	4	17	6	0	0	0	2	0	1	1	1	10
252274	159	100	32	18	86	116	45	156	34	118	13	112	48
213308	11	10	4	37	4	14	11	11	16	6	1	12	15
570595	115	27	50	134	30	55	149	56	18	33	38	30	33
2068089	42	12	45	12	6	21	11	11	5	11	31	7	7
1142871	73	57	56	58	61	90	100	84	26	84	45	63	30
719367	148	1266	181	152	350	253	20	145	144	626	23	312	39
