	HP301.W9	CML277.W6.1	CML277.W10	IL14H.W10.1	B73.W6	MO17.W7.1	HP301.W12.1	IL14H.W4	IL14H.W6	B73.W8	IL14H.W11.1	CML277.W5	HP301.W10
1107637	148	41	111	96	42	78	55	106	6	66	41	38	50
112754	320	145	61	43	50	201	14	327	67	121	20	141	44
1068155	92	115	50	343	16	97	130	123	57	140	21	174	18
646030	25	8	19	33	13	14	45	19	8	5	21	17	10
553534	55	41	135	140	0	14	329	11	4	10	334	9	39
581900	98	41	48	37	8	60	36	19	4	76	0	8	4
308202	24	32	24	28	28	45	36	31	8	18	28	14	40
622731	58	32	32	27	77	107	54	88	23	75	23	56	18
1639771	13	4	3	3	4	14	9	9	1	8	3	3	5
217746	83	31	59	62	16	84	85	52	35	40	33	38	68
217748	6	4	2	10	5	19	0	24	0	5	4	19	2
882681	74	54	110	22	5	48	10	11	2	20	3	8	13
156210	73	55	89	82	7	52	9	13	17	18	3	8	31
594013	357	165	5170	611	40	77	812	164	575	43	212	38	2626
4324314	667	482	344	385	23	230	27	108	229	224	36	83	114
814295	189	165	84	56	139	189	161	195	72	81	92	124	62
219743	53	8	26	12	5	8	117	3	5	9	21	2	18
562008	2816	792	2381	246	140	599	349	500	239	332	75	193	277
13568	1	0	0	1	0	8	1	2	3	0	2	1	3
1131545	14	41	32	20	6	45	16	13	12	17	5	9	5
819893	189	71	84	142	86	198	259	195	51	92	88	121	105
587598	112	54	40	85	16	53	108	59	28	33	64	52	64
417101	88	56	226	349	22	153	220	43	41	124	90	33	76
1029922	0	4	7	114	1	11	48	15	2	7	3	4	9
436590	41	7	101	46	9	12	109	8	3	11	35	2	95
4316722	6	20	13	7	10	19	16	20	5	8	3	6	5
570576	35	49	106	18	5	7	1	15	4	9	10	5	17
1062748	225	92	125	160	80	241	335	235	98	141	99	97	88
514041	503	466	127	258	206	386	152	810	394	312	26	847	135
855996	311	349	93	97	256	390	210	618	151	273	102	423	154
588703	3	29	0	4	17	10	3	29	3	11	9	2	3
783660	83	71	45	31	28	63	89	110	27	25	70	57	21
