""	"Acidobacteria"	"Actinobacteria"	"Armatimonadetes"	"Bacteroidetes"	"Chlorobi"	"Chloroflexi"	"Crenarchaeota"	"Elusimicrobia"	"Fibrobacteres"	"Firmicutes"	"Gemmatimonadetes"	"Nitrospirae"	"Planctomycetes"	"Proteobacteria"	"Verrucomicrobia"	"WS3"
"new30"	0.01853057164638	0.08046249774015	0.0006722776	0.15002444810925	0.0005266414	0.0117225482578	0.00649008103	0.0002645133	0.0012309109	0.0013647300819	0.0138310650664	0.0011527254039	0.005449380695	0.67612846890796	0.03056367193964	0.00158551004
"new31"	0.02603205638803	0.08751885075185	0.0015538441	0.20489032898214	0.0003813528	0.0151271161375	0.00729725604	0.0005410097	0.0021001676	0.0017496340948	0.018430190368	0.0016872215835	0.0079172338141	0.56839529594996	0.05442647032101	0.00195194132
"new32"	0.01564899932547	0.07462393548128	0.0006040089	0.18076081045861	0.0005143256	0.0105948040121	0.00609238464	0.0002454204	0.0011033523	0.0012065325025	0.0120745410063	0.0010361314785	0.0047360435318	0.66136840127433	0.0279571435226	0.00143321842
