""	"Acidobacteria"	"Actinobacteria"	"Armatimonadetes"	"Bacteroidetes"	"Chlorobi"	"Chloroflexi"	"Crenarchaeota"	"Elusimicrobia"	"Fibrobacteres"	"Firmicutes"	"Gemmatimonadetes"	"Nitrospirae"	"Planctomycetes"	"Proteobacteria"	"Verrucomicrobia"	"WS3"
"new24"	0.03239944269266	0.06586775117683	0.0005814249	0.14104902776013	0.00050506834	0.01251324012	0.00636111262	0.0009419986	0.00037170475	0.00098476607347	0.029279060034	0.0019257266941	0.0058043563254	0.63727122348031	0.0604576061994	0.0036863897
"new25"	0.03618302869486	0.0818150074146	0.0026492728	0.32261011449084	0.00062867615	0.0200126563901	0.009399492	0.0010987718	0.00614912	0.0014239061988	0.026226185754	0.0027456892514	0.0095288384806	0.38702095376271	0.09004766068744	0.0024606096
"new26"	0.04955374629511	0.08970703335246	0.0009387951	0.18145126843541	0.0006779683	0.01959115757804	0.00824134667	0.0017887069	0.0012049575	0.00128297125355	0.04527353533	0.0028907950613	0.0098863054027	0.48159697479401	0.10029738289013	0.005617115
