	new00	new01	new02	new03	new04	new05	new06	new07	new08	new09	new10	new11	new12	new13	new14	new15	new16	new17	new18	new19	new20	new21	new22	new23	new24	new25	new26	new27	new28	new29	new30	new31	new32	new33	new34	new35	new36	new37	new38	new39	new40	new41	new42	new43	new44	new45	new46	new47
0	0.33920905	0.15575223	0.31004506	0.0073760804	-0.0068791583	-0.0061979033	0.31443152	0.15717338	0.30962938	0.31277376	0.16998278	0.30912963	0.30970374	0.42201617	0.30883342	0.306255	0.2976788	0.30829945	0.2773702	0.2503593	0.30143666	0.23892213	0.24840456	0.27301094	-0.017499074	0.24831213	0.12779537	-0.0047544986	0.0012228992	0.024326392	0.009060938	0.16786571	-0.013108902	-0.053755153	0.085885406	-0.044825334	-0.044877384	0.065846995	-0.053892527	-0.048807282	0.13151687	-0.058761228	-0.05918147	0.0802083	-0.06947328	-0.06880462	0.012304228	-0.13388672
1	-0.18131936	0.16257945	-0.17392054	-0.3345594	-0.3817317	-0.3195522	-0.17631012	0.16062294	-0.17346598	-0.17574625	0.1455339	-0.17283694	-0.17355171	-0.15123563	-0.17235546	-0.17056412	-0.16923058	-0.17185046	-0.17178027	-0.1706717	-0.17116752	-0.16926476	-0.21070822	-0.15255238	-0.21646036	-0.2247607	-0.16629323	-0.30685425	-0.3765773	-0.31464383	-0.31781286	-0.39822626	-0.33432198	-0.319659	-0.43826038	-0.3319021	-0.31815875	-0.30326152	-0.32830706	-0.2936452	-0.18870308	-0.32567164	-0.25191277	-0.28564546	-0.3185409	-0.20069808	-0.37128597	-0.260724
2	0.061973	0.025810463	0.06204677	0.5950356	0.63059235	0.57455295	0.06867406	0.026350189	0.060206387	0.06791127	0.03085448	0.057293486	0.060725007	0.046960857	0.054387968	0.042771474	0.045944348	0.04924128	0.023324428	0.014971368	0.041960128	0.05400564	0.02561682	0.029438369	0.50262827	0.039659746	0.21131077	0.5573886	0.60888696	0.5723057	0.57647336	0.36879602	0.5998832	0.56127435	0.5199284	0.58859205	0.55247575	0.5408897	0.5844809	0.52234215	0.468684	0.5817088	0.47063342	0.54274285	0.5749961	0.3839513	0.5978943	0.5178858
3	-0.43150204	-0.39323273	-0.44034612	-0.0041527636	-0.058801755	-0.032859877	-0.43614236	-0.39446005	-0.44135737	-0.4368594	-0.40570793	-0.4429104	-0.44123346	-0.44910312	-0.4444541	-0.45330018	-0.47839555	-0.44726703	-0.47937948	-0.49936947	-0.45192233	-0.4623548	-0.4847643	-0.45605826	-0.092093065	-0.47063312	-0.3240122	-0.046576582	-0.069369756	-0.03199109	-0.014458606	-0.20289029	-0.006113792	-0.043428715	-0.09454553	-0.022024045	-0.051314898	0.0036132801	-0.026454499	-0.07314655	0.029416332	-0.02917738	-0.11043005	0.026465097	-0.035031367	-0.1820598	0.0009798184	-0.07786718
4	-0.2896713	0.2189032	-0.30302444	-0.61849576	-0.37771899	-0.62512535	-0.3135357	0.21521285	-0.3000961	-0.31239402	0.17972726	-0.29537028	-0.3015189	-0.21824174	-0.29071042	-0.2813134	-0.40393832	-0.28221843	-0.2981458	-0.37867174	-0.26327986	-0.32298452	-0.39240405	-0.22197776	-0.45663056	-0.37900698	-0.32159823	-0.6063846	-0.3730501	-0.5520543	-0.5508249	-0.30574003	-0.6667439	-0.58315045	-0.3018572	-0.72890496	-0.5584909	-0.22686188	-0.74392474	-0.6014385	-0.11621741	-0.7551275	-0.6941609	-0.19467123	-0.78618973	-0.81722414	-0.34163916	-1.0281017
5	0.19195609	0.20893873	0.18876885	0.06519798	-0.039991602	0.05519449	0.19135754	0.20770323	0.18780516	0.19127804	0.19697875	0.18621282	0.18801872	0.21540667	0.18453316	0.1767891	0.1846559	0.18124692	0.16402157	0.17525072	0.17445734	0.15278977	0.16363916	0.16793932	-0.0014942922	0.15283132	0.1138314	0.054549195	-0.030977711	0.047617204	0.064245075	0.05400899	0.06304637	0.0527568	0.0494264	0.059006408	0.051393975	0.089225486	0.05850832	0.0637468	0.18314904	0.059019458	0.08707318	0.1132816	0.062109243	0.11593119	0.053704157	0.09837781
6	-0.11525178	-0.10341065	-0.1732505	-0.02990181	0.051410783	-0.042407166	-0.16247556	-0.10383798	-0.17503265	-0.16555823	-0.10326663	-0.17754151	-0.1752261	-0.012498565	-0.17978738	-0.20008516	-0.28476444	-0.18353017	-0.2698527	-0.30133536	-0.19067107	-0.2894922	-0.22582845	-0.17725095	-0.14734419	-0.20001991	-0.16127273	-0.04991251	0.043836	-0.036412187	-0.014638182	-0.0017332397	-0.036759436	-0.0018012691	0.045778822	-0.04841045	0.0002954537	0.06546183	-0.050947696	-0.025168851	0.03472576	-0.05349185	-0.06915556	0.0629436	-0.061541002	-0.13185579	0.0723194	-0.13076931
7	-0.08999251	-0.4610815	-0.028627045	0.030678209	0.12345989	0.0155577585	-0.042391054	-0.4601996	-0.025390927	-0.03959441	-0.45237735	-0.020331884	-0.025616685	-0.22815654	-0.015093379	0.019006416	0.10650489	-0.004673511	0.13782182	0.2094156	0.016460728	0.13848382	0.36894804	0.005321022	-0.11231634	0.39723772	-0.06440851	0.018816058	0.13228872	-0.025692055	0.03758661	0.31855533	0.018146299	0.10301927	0.21207647	0.03843153	0.10981417	0.1874554	0.046208512	0.12393308	0.23263974	0.05062696	0.15044393	0.1869017	0.059985723	0.19396113	0.16217795	0.11955273
8	0.53482014	0.58703804	0.52849066	0.12512212	0.23022556	0.17732841	0.52512723	0.58668983	0.5296221	0.5252412	0.587364	0.5314479	0.52919316	0.5600143	0.53326255	0.5384394	0.517425	0.5363087	0.53373903	0.53167135	0.5385835	0.50372773	0.5448164	0.5404005	0.24386512	0.5394712	0.4061424	0.19195487	0.24063522	0.18787053	0.14249326	0.34147692	0.14418985	0.19438332	0.24754953	0.16711421	0.19867091	0.1436489	0.17119989	0.19554055	0.07004801	0.17214848	0.18592554	0.121876635	0.17126653	0.19890937	0.1630987	0.1468845
9	0.096858926	0.25604564	0.045668323	-0.17311981	-0.30343464	-0.2020539	0.049385227	0.25709105	0.04574938	0.047287785	0.26507282	0.046143956	0.04545539	0.2993357	0.04683942	0.045368083	0.028091714	0.04871362	0.03367842	0.024311118	0.05407393	0.019455463	-0.017718026	0.07322542	-0.24046001	-0.029787038	-0.034751177	-0.20996368	-0.29418385	-0.21545705	-0.1917324	-0.14290148	-0.18577713	-0.21161315	-0.1709103	-0.18382639	-0.21170732	-0.24412754	-0.18227425	-0.19353142	-0.20607004	-0.1802037	-0.15457523	-0.23139119	-0.17316458	-0.09512926	-0.23293746	-0.10230946
