	RSE	RRSE
541741	7.9845695	2.8256981
854050	581.21735	24.10845
1093690	12.553951	3.5431557
358785	23.22086	4.818803
820086	98.623955	9.93096
4321627	73.7629	8.588533
261663	0.97098327	0.9853848
223126	4.288816	2.0709457
808919	6.601613	2.5693605
591157	3.8256304	1.9559219
693971	13.3568	3.6546955
940737	6.9532228	2.6368964
103869	13.24447	3.639295
410072	1.0791343	1.038814
545247	9.962129	3.156284
1020921	52.913372	7.274158
1069076	1.8979893	1.3776753
822419	4.2731233	2.0671535
519739	148.14684	12.171558
512542	52.087704	7.217181
564241	609.60114	24.690102
521158	1.7376571	1.3182023
1084045	37.724712	6.1420445
592129	23.160364	4.8125215
246466	11.232923	3.3515553
930055	40.47171	6.361738
510591	11.540333	3.3971066
46818	16.718267	4.0887976
931593	5.3907304	2.3217947
1108960	35.515965	5.959527
142373	5.1806593	2.276106
726736	1.8775427	1.3702346
751555	1.4574932	1.2072668
547806	16.149336	4.018624
755077	2.451942	1.5658678
697989	11.09904	3.3315222
989109	7.593984	2.7557185
4348098	2.1875727	1.4790446
585878	1.7467152	1.3216336
236583	611.96747	24.737976
1008533	5.43422	2.3311412
144633	7.451486	2.729741
718335	1.2901227	1.1358356
4318356	9.379313	3.0625665
353494	1.8144263	1.3470064
584331	699.20123	26.442413
532125	230.30838	15.175915
128177	37.29266	6.1067715
1106130	16.045254	4.005653
864304	35.39014	5.9489613
647472	2.8287752	1.6818963
576059	11.891364	3.4483857
1051459	128.83499	11.350551
494339	19.685743	4.436862
13332	33.51533	5.7892427
802011	24.750675	4.975005
1021984	5.266296	2.294841
509899	2.3989875	1.5488665
996116	8.670926	2.9446437
336745	23.714418	4.8697453
552687	22.968266	4.792522
358068	28.07937	5.298997
220353	28.062984	5.2974505
591747	6.655557	2.5798366
314599	14.768042	3.842921
876519	8.117642	2.8491476
699318	3.8267543	1.9562092
361264	13.973466	3.7381098
1106471	45.20265	6.7232914
58633	8.54878	2.9238298
1015227	27.883312	5.280465
142233	9.356245	3.058798
811424	2.4587677	1.5680459
273690	4.0102363	2.0025575
551344	173.19907	13.160512
859157	3.3087611	1.819
538111	19.65382	4.433263
790384	57.238884	7.5656385
252274	9.223621	3.0370417
213308	3.7491941	1.9362836
570595	4.6208706	2.149621
2068089	1.3802053	1.1748214
1142871	0.52282363	0.72306544
719367	15.162176	3.893864
859313	2.1940513	1.481233
238280	1.2739443	1.1286914
553648	6.9827833	2.6424956
1087325	14.176387	3.7651544
583489	1.4785912	1.2159734
837424	20.837002	4.5647564
1052559	49.160843	7.0114794
657034	2.51693	1.5864836
216643	704.4713	26.541878
698517	1.9186039	1.3851367
1056070	71.42632	8.451409
553562	562.91064	23.725739
824723	5.8798876	2.4248478
252345	4.345092	2.0844884
998905	14.037871	3.7467148
571484	11.66029	3.4147167
4339223	4.5315433	2.1287422
408093	516.2769	22.721727
562438	11.383512	3.373946
806201	606.96875	24.636736
594040	18.593845	4.312058
589597	99.89301	9.994649
837069	327.02393	18.083803
136998	2.2392519	1.496413
1016118	14.046012	3.7478008
833957	2.3349435	1.5280522
160311	10.827374	3.2904975
4308759	6.320427	2.514046
938039	22.658993	4.760146
4402996	0.81659245	0.90365505
952203	26.753525	5.172381
345333	17.52942	4.1868153
537655	5.5325675	2.3521411
758928	1.7457546	1.3212701
331521	6.293078	2.5086007
248505	35.359745	5.946406
687206	1.0471926	1.0233243
358489	13.286406	3.6450522
219282	1.1295803	1.0628171
217917	58.833015	7.670268
250522	36.267056	6.0222135
3809681	1.275926	1.1295689
635391	32.64849	5.713886
1044581	18.333544	4.281769
1072673	1.3548648	1.1639866
2063454	2.124837	1.457682
336057	11.287626	3.3597062
551647	0.76944757	0.8771816
822874	1.1342385	1.0650064
311035	1.2800524	1.131394
819037	4.347424	2.0850477
268617	1.073128	1.035919
895220	74.2695	8.617975
751138	5.9335785	2.4358938
987696	23.833424	4.881949
209762	3.7700498	1.9416616
4302554	0.8455127	0.91951764
813885	586.2281	24.212147
1108483	3.9718926	1.9929608
207355	8.784455	2.9638581
93175	264.61127	16.266876
759916	106.15792	10.303297
142384	8.207589	2.8648891
1015017	26.297895	5.1281476
561885	3.2156954	1.793236
891898	6.7849903	2.6048014
4469039	0.63089615	0.7942897
957360	4.0349765	2.0087252
824826	10.887222	3.2995791
354765	49.562004	7.0400286
1812611	2.9510107	1.7178506
248395	35.340275	5.944769
729145	16.681726	4.0843267
717396	1.738383	1.3184775
942852	697.6363	26.412806
968261	1.6206634	1.2730528
1052235	1.9176925	1.3848077
673712	6.817916	2.611114
763448	3.0179782	1.7372329
555384	691.1421	26.289581
1110625	3.009689	1.7348455
2834426	22.319092	4.7243085
974121	130.39348	11.418997
1060474	182.07321	13.493451
297615	38.426086	6.198878
1106617	398.34714	19.958635
571700	1.5922557	1.2618462
332557	3.1111546	1.7638465
536008	45.56018	6.7498283
1087471	1.5682747	1.2523078
2324042	174.63115	13.2148075
361372	14.269089	3.7774448
1074016	48.855007	6.9896355
112867	1.1621548	1.0780329
4322410	11.044125	3.32327
338196	18.771542	4.332614
511074	49.777252	7.0552998
237257	22.563454	4.7501006
624312	8.260901	2.8741784
2818167	6.061478	2.462007
539978	473.4174	21.758158
851113	115.749016	10.758672
4317750	1.141455	1.068389
220524	15.229592	3.9025111
1107637	6.3489566	2.5197136
112754	210.35641	14.503669
1068155	3.6371024	1.9071189
646030	3.3802903	1.8385565
553534	184.38657	13.578901
581900	5.7345824	2.3946989
308202	4.370956	2.0906832
622731	4.986193	2.2329786
1639771	0.8974728	0.9473504
217746	1.1669427	1.0802512
217748	2.589064	1.6090568
882681	14.711946	3.8356154
156210	1.3752986	1.1727313
594013	24.631443	4.9630075
4324314	7.162684	2.6763191
814295	7.942232	2.8181965
219743	39.504585	6.2852674
562008	264.1055	16.251324
13568	4.126311	2.0313323
1131545	2.1887	1.4794255
819893	31.554338	5.617325
587598	347.27036	18.635191
417101	24.602308	4.9600716
1029922	70.746216	8.411077
436590	3.5832913	1.8929584
4316722	3.4552305	1.858825
570576	2.036011	1.4268886
1062748	12.8064995	3.578617
514041	6.934648	2.633372
855996	2.1036906	1.4504105
588703	202.39948	14.226717
783660	15.790967	3.973785
112949	1.8823831	1.3719996
567336	18.40606	4.2902284
567333	8.605433	2.933502
343242	51.417183	7.1705775
532331	18.999664	4.3588605
946860	1.313487	1.1460747
1081222	15.297073	3.9111474
1049393	464.90485	21.561653
257270	80.06135	8.9477005
925200	13.722104	3.704336
758613	251.87764	15.870653
253167	2.9733453	1.7243391
511817	3.9433692	1.9857918
945478	0.97846025	0.9891715
551109	46.140865	6.792707
215823	36.130375	6.0108547
215825	4.868677	2.206508
1048878	10.800171	3.2863615
816631	217.32068	14.7418
223655	1.7441667	1.320669
822571	11.671088	3.4162974
831289	32.41828	5.6937056
325776	3.0597022	1.7492005
512397	1.5259151	1.2352793
357721	1.652853	1.2856333
304694	7.636491	2.76342
1053703	2.6434252	1.6258614
564093	277.0449	16.644665
1020262	127.045296	11.271437
537115	16.956736	4.1178555
4318042	19.263515	4.3890224
1125708	378.85703	19.46425
216350	8.99855	2.9997585
949062	2.4278443	1.5581541
816441	11.924749	3.453223
1078248	64.45842	8.0286
110321	76.04196	8.720204
1074625	158.2418	12.57942
278390	14.087897	3.7533848
567840	94.65958	9.729316
1084157	6.160403	2.4820158
901893	4.1985207	2.049029
591647	1.645193	1.2826507
888396	100.08869	10.004434
142010	19.269058	4.3896537
1032653	10.334302	3.214701
571363	0.45868567	0.6772634
2733662	0.84034014	0.91670066
1108830	9.980691	3.159223
4479100	1.2169884	1.103172
231447	6.1722536	2.4844022
368218	1.8625691	1.3647597
225379	20.696611	4.5493526
915631	1.3790267	1.1743196
138920	25.414543	5.041284
316335	5.414313	2.3268676
937372	4.1264634	2.03137
549557	15.792616	3.9739923
245723	1.0629584	1.0309987
679787	1.2069074	1.0985934
570407	8.221595	2.8673325
113674	1.5563953	1.2475557
1129425	1.9376233	1.3919854
992428	1.0835313	1.0409281
815305	352.3705	18.771534
562177	27.266123	5.2216973
239185	4.6600504	2.158715
2442916	3.20284	1.789648
832626	5.369515	2.3172214
100640	3.1320653	1.7697642
256335	2.0183022	1.4206697
255448	3.1376157	1.7713317
960217	1.6531695	1.2857563
557974	276.3335	16.623281
238426	234.79546	15.323037
3582363	1.7515289	1.3234534
775149	413.89105	20.344313
1060517	15.912932	3.9891016
566578	86.63181	9.307621
1012668	1.5761241	1.2554379
606989	689.6397	26.260992
224648	6.000637	2.4496198
809485	2.6716821	1.6345282
185100	14.986013	3.8711772
328081	13.783099	3.7125597
829373	36.009327	6.0007772
1107243	594.1393	24.374973
709657	2.1149316	1.4542804
214791	20.399397	4.516569
558911	12.595762	3.5490508
4405640	4.085444	2.021248
539866	1.1935349	1.0924902
3581990	9.344565	3.056888
527397	5.049056	2.2470105
873887	6.354975	2.5209076
915265	3.4632313	1.8609759
532139	1.9011931	1.3788376
833317	692.4131	26.313744
1009440	273.5578	16.539583
4447718	1.826136	1.351346
338140	125.873535	11.219337
765871	17.289167	4.1580243
4345857	6.8251133	2.6124918
896276	17.03452	4.12729
4370738	3.02436	1.7390687
254346	77.258606	8.789687
269875	5.9896965	2.4473855
909170	2.4420683	1.5627118
1017063	21.76711	4.6655235
558264	77.35176	8.794985
242284	692.2697	26.311018
415661	691.6288	26.298836
4359497	2.236452	1.4954772
113004	5.0901127	2.2561278
1081489	4.30537	2.0749385
852162	24.721159	4.972038
4342317	1.3977245	1.182254
539336	1.1171517	1.056954
627435	6.8020124	2.6080668
587540	8.811053	2.9683418
