	sequentialTaxaID
2442916	w512
832626	w513
100640	w514
256335	w515
255448	w516
960217	w517
557974	w518
238426	w519
3582363	w520
775149	w521
1060517	w522
566578	w523
1012668	w524
606989	w525
224648	w526
809485	w527
185100	w528
328081	w529
829373	w530
1107243	w531
709657	w532
214791	w533
558911	w534
4405640	w535
539866	w536
3581990	w537
527397	w538
873887	w539
915265	w540
532139	w541
833317	w542
1009440	w543
4447718	w544
338140	w545
765871	w546
4345857	w547
896276	w548
4370738	w549
254346	w550
269875	w551
909170	w552
1017063	w553
558264	w554
242284	w555
415661	w556
4359497	w557
113004	w558
1081489	w559
852162	w560
4342317	w561
539336	w562
627435	w563
587540	w564
4439482	w565
226240	w566
303643	w567
584598	w568
772651	w569
794280	w570
997544	w571
824675	w572
1081815	w573
819681	w574
544772	w575
732609	w576
236466	w577
100737	w578
952082	w579
568461	w580
723100	w581
812105	w582
561452	w583
945733	w584
329490	w585
620224	w586
778795	w587
1110836	w588
240506	w589
832619	w590
139405	w591
1112326	w592
778968	w593
1125248	w594
137916	w595
4401982	w596
750320	w597
185950	w598
917888	w599
256569	w600
235541	w601
937954	w602
78422	w603
688259	w604
237703	w605
1640195	w606
319944	w607
554390	w608
1044436	w609
1072787	w610
576653	w611
570552	w612
1053194	w613
674370	w614
339660	w615
4300564	w616
960076	w617
562311	w618
2946783	w619
817349	w620
586320	w621
546371	w622
254392	w623
216925	w624
809189	w625
792574	w626
360823	w627
137818	w628
813938	w629
811263	w630
208805	w631
2591424	w632
824146	w633
510547	w634
1105574	w635
1108685	w636
365415	w637
915948	w638
1098922	w639
4316013	w640
814232	w641
769643	w642
130710	w643
825183	w644
557467	w645
550164	w646
577068	w647
246952	w648
281360	w649
153239	w650
1082846	w651
11428	w652
962736	w653
18499	w654
591358	w655
238109	w656
218116	w657
582391	w658
556561	w659
1109142	w660
1108431	w661
105113	w662
792868	w663
107234	w664
209613	w665
4302753	w666
1052930	w667
249068	w668
237634	w669
539496	w670
1037355	w671
586230	w672
1121806	w673
1088120	w674
965853	w675
835594	w676
510316	w677
831179	w678
